,0
case_type_incident,0.06965295528439475
case_type_service_request,0.05774427563399896
customer_tenure_months_4.0,0.05342505991835081
plan_tier_enterprise,0.04543497807215121
channel_phone,0.041652442944231954
customer_tenure_months_0.0,0.041570175362655774
plan_tier_free,0.03397692418904816
plan_tier_standard,0.03193649538719123
category_integrations,0.028521846091108638
category_performance_outage,0.028366146628943364
category_other,0.026311836594682097
customer_tenure_months_1.0,0.02093853950677685
customer_tenure_months_3.0,0.02092480427711772
category_how_to_training,0.020356753962679813
down,0.0168016597158618
xero,0.01667107989546685
plan_tier_pro,0.015538659464184368
customer_tenure_months_2.0,0.01526405280642017
orbit id,0.01299688204855029
category_account_admin,0.012596088902619812
